127.0.0.1 - - [16/Nov/2019:13:14:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:14:43 +0530] "GET /springmvc/hello HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:14:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:15:15 +0530] "GET /springmvc/hello HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:15:31 +0530] "GET /springmvc/hello HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:18:12 +0530] "GET /springmvc/hello HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:18:25 +0530] "GET /springmvc/hello HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:34:32 +0530] "GET /springmvc/hello HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:34:42 +0530] "GET /springmvc/hello HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:35:15 +0530] "GET /springmvc/hello HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:53:05 +0530] "GET /springmvc/hello HTTP/1.1" 200 190
